```json
{
  "questoes": [
      "Competencia Avaliada": "Localizar informação em texto de nível 1, recuperando-a por meio de paráfrase do modo como se apresenta no texto",
      "Comando 1": "Leia o texto.",
      "texto_suporte": "**Jogo da Amarelinha**\n\n**O que precisa?**\n- Uma pedra pequena ou um objeto similar.\n- Um giz ou fita adesiva para desenhar a amarelinha no chão.\n\n**Como é a brincadeira?**\n1. Desenhe a amarelinha no chão com números de 1 a 10.\n2. Jogue a pedra no número 1.\n3. Pule em um pé só nos quadrados, exceto no que tem a pedra.\n4. No final, vire-se e volte pulando, pegando a pedra no caminho.\n5. Jogue a pedra no próximo número e repita os passos.\n6. Se pisar na linha ou errar o quadrado, perde a vez.\n7. A brincadeira acaba quando alguém completar todos os números.",
      "pergunta": "De acordo com esse texto, a brincadeira termina quando",
      "opcoes": {
        "a": "alguém completar todos os números.",
        "b": "a pedra cair fora do quadrado.",
        "c": "pisar na linha ou errar o quadrado.",
        "d": "pegar a pedra no caminho de volta."
      },
      "resposta_correta": "a",
      "justificativas": {
        "a": "GABARITO \nOs estudantes que assinalaram esta alternativa conseguiram localizar corretamente a informação solicitada pelo item. Observaram o passo que representa o objetivo final da brincadeira, retomado por meio de uma paráfrase presente no comando e no gabarito – “a brincadeira acaba”/ “a brincadeira termina” e “alguém completar todos os números”/ “alguém completar todos os números”.",
        "b": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta não conseguiram recuperar a informação solicitada pelo comando. Nesse caso, se guiaram por uma das ações possíveis durante a brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "c": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta compreenderam que pisar na linha ou errar o quadrado representa o final da brincadeira. Nesse caso, se guiaram por uma das ações durante o desenvolvimento da brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "d": "INCORRETA \nOs estudantes que optaram por essa alternativa reconhecem uma ação possível durante a brincadeira como sendo o seu final. Em que pese mobilizarem uma informação possível no texto, não responderam corretamente ao que foi solicitado no comando do item."
      }
    },
    {
      "Competencia Avaliada": "Localizar informação em texto de nível 1, recuperando-a por meio de paráfrase do modo como se apresenta no texto",
      "Comando 1": "Leia o texto.",
      "texto_suporte": "**Jogo do Pega-Pega**\n\n**O que precisa?**\n- Um espaço aberto.\n- Pelo menos 3 pessoas.\n- 1 pessoa será o pegador.\n\n**Como é a brincadeira?**\n1. O pegador conta até 10 enquanto os outros se escondem.\n2. Após a contagem, o pegador procura os outros jogadores.\n3. Quando o pegador encostar em alguém, essa pessoa se torna o novo pegador.\n4. A brincadeira acaba quando todos os jogadores forem pegos pelo pegador.\n5. O último a ser pego começa como pegador na próxima partida.",
      "pergunta": "De acordo com esse texto, a brincadeira termina quando",
      "opcoes": {
        "a": "o pegador encostar em alguém.",
        "b": "todos os jogadores forem pegos pelo pegador.",
        "c": "o pegador contar até 10.",
        "d": "o último a ser pego começar como pegador na próxima partida."
      },
      "resposta_correta": "b",
      "justificativas": {
        "a": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta não conseguiram recuperar a informação solicitada pelo comando. Nesse caso, se guiaram por uma das ações possíveis durante a brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "b": "GABARITO \nOs estudantes que assinalaram esta alternativa conseguiram localizar corretamente a informação solicitada pelo item. Observaram o passo que representa o objetivo final da brincadeira, retomado por meio de uma paráfrase presente no comando e no gabarito – “a brincadeira acaba”/ “a brincadeira termina” e “todos os jogadores forem pegos pelo pegador”/ “todos os jogadores forem pegos pelo pegador”.",
        "c": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta compreenderam que a contagem até 10 representa o final da brincadeira. Nesse caso, se guiaram por uma das ações durante o desenvolvimento da brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "d": "INCORRETA \nOs estudantes que optaram por essa alternativa reconhecem uma ação possível após o final da brincadeira como sendo o seu final. Em que pese mobilizarem uma informação possível no texto, não responderam corretamente ao que foi solicitado no comando do item."
      }
    },
    {
      "Competencia Avaliada": "Localizar informação em texto de nível 1, recuperando-a por meio de paráfrase do modo como se apresenta no texto",
      "Comando 1": "Leia o texto.",
      "texto_suporte": "**Jogo da Cabra-Cega**\n\n**O que precisa?**\n- Um lenço ou venda para os olhos.\n- Pelo menos 3 pessoas.\n- Um espaço aberto e seguro.\n\n**Como é a brincadeira?**\n1. Uma pessoa é escolhida para ser a cabra-cega e é vendada.\n2. As outras pessoas correm e se movem ao redor da cabra-cega.\n3. A cabra-cega tenta pegar as pessoas, guiada apenas pelo som.\n4. Quando a cabra-cega pegar alguém, essa pessoa se torna a nova cabra-cega.\n5. A brincadeira acaba quando todos tiverem sido cabra-cega pelo menos uma vez.",
      "pergunta": "De acordo com esse texto, a brincadeira termina quando",
      "opcoes": {
        "a": "a cabra-cega pegar alguém.",
        "b": "todos tiverem sido cabra-cega pelo menos uma vez.",
        "c": "a cabra-cega for vendada.",
        "d": "as pessoas correrem ao redor da cabra-cega."
      },
      "resposta_correta": "b",
      "justificativas": {
        "a": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta não conseguiram recuperar a informação solicitada pelo comando. Nesse caso, se guiaram por uma das ações possíveis durante a brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "b": "GABARITO \nOs estudantes que assinalaram esta alternativa conseguiram localizar corretamente a informação solicitada pelo item. Observaram o passo que representa o objetivo final da brincadeira, retomado por meio de uma paráfrase presente no comando e no gabarito – “a brincadeira acaba”/ “a brincadeira termina” e “todos tiverem sido cabra-cega pelo menos uma vez”/ “todos tiverem sido cabra-cega pelo menos uma vez”.",
        "c": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta compreenderam que a vendar a cabra-cega representa o final da brincadeira. Nesse caso, se guiaram por uma das ações durante o desenvolvimento da brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "d": "INCORRETA \nOs estudantes que optaram por essa alternativa reconhecem uma ação possível durante a brincadeira como sendo o seu final. Em que pese mobilizarem uma informação possível no texto, não responderam corretamente ao que foi solicitado no comando do item."
      }
    }
  ]
}
```
